,index,Weight
0,salt,1.3585097158508466
1,pepper,1.3636101809729058
2,onion,1.4505988819684756
3,oil,1.4527781255440866
4,garlic,1.5330935728892987
5,ground,1.8733554871867009
6,olive,1.9611977740704183
7,chicken,2.0597551154640343
8,sauce,2.1530408259999243
9,flour,2.526611338719344
10,water,2.564014072517881
11,beef,2.5874853930780417
12,butter,2.5900331651568402
13,cheese,2.6317058615574087
14,egg,2.655479127373015
15,green,2.663225805438874
16,parsley,2.6682705306525736
17,tomato,2.670111304297066
18,sugar,2.6751909734971475
19,juice,2.749655134434688
20,ginger,2.753152514966859
21,lemon,2.7784959899728774
22,broth,2.7857087981621182
23,wine,2.796626504735105
24,paprika,2.8044984950054848
25,cumin,2.822038142097442
26,rice,2.842076722161263
27,soy,2.8642015184418987
28,vegetable,2.990409203757533
29,powder,3.0038236495620234
30,vinegar,3.0083354200256855
31,cream,3.008981623602292
32,carrot,3.0096282450279905
33,dried,3.0167688141540605
34,cilantro,3.0525816599075593
35,boneless,3.0792681563304636
36,milk,3.0988766277188398
37,tomatoe,3.101000522322544
38,bell,3.1275730013930634
39,stock,3.1752720579801608
40,thyme,3.22616366527655
41,egano,3.257990096888227
42,bay,3.281481109963826
43,paste,3.2865875040384003
44,breast,3.340038684535728
45,kosher,3.354544831924757
46,chili,3.3692645089172233
47,dry,3.4665228316448475
48,lime,3.4882066962044975
49,mushroom,3.511438997697766
50,leave,3.512507944886671
51,potato,3.5232607366629325
52,leaf,3.5418100955740646
53,seed,3.553998612116562
54,mustard,3.573132566703106
55,cier,3.6137178468181843
56,sour,3.6160875161735024
57,starch,3.624425861090656
58,bread,3.6256227493245023
59,sesame,3.6523233646275473
60,minced,3.711872304434767
61,turmeric,3.713178640348822
62,cinnamon,3.766882819320683
63,sweet,3.797697582364693
64,cayenne,3.797697582364693
65,leaves,3.839824363263051
66,shrimp,3.868419238540106
67,sea,3.8869097499377387
68,coconut,3.8978559108352355
69,celery,3.9121079335424374
70,basil,3.941236206465461
71,crushed,3.9478260161445164
72,bean,3.949480276240543
73,grated,3.949480276240543
74,wcestershire,3.97123845676926
75,yogurt,3.9831534913471307
76,thighs,3.9986844333780076
77,unsalted,4.0180002226772995
78,fren,4.0180002226772995
79,pineapple,4.023333568652662
80,bacon,4.025117690446163
81,parmesan,4.048605671753377
82,shded,4.050435498430453
83,flakes,4.063338903266361
84,sausage,4.076410984833713
85,feta,4.0839581904690965
86,cabbage,4.091562789854316
87,scallion,4.103079231915874
88,honey,4.105011599666929
89,fish,4.110831208720192
90,shallot,4.122573026596876
91,nutmeg,4.1284960448999986
92,breasts,4.134454354483628
93,saffron,4.134454354483628
94,whole,4.152545300132668
95,smoked,4.152545300132668
96,peas,4.215327420089124
97,cooking,4.217489583093619
98,canola,4.221827984692217
99,cooked,4.2261852900611725
100,lamb,4.228371083281154
101,ange,4.230561664660971
102,plain,4.230561664660971
103,crumbs,4.3175730416506015
104,potatoes,4.341787299771196
105,cucumber,4.346701314573625
106,steak,4.349167407068819
107,masala,4.354117912228675
108,heavy,4.361589927067376
109,light,4.364093057285494
110,cheddar,4.374168709274236
111,curry,4.376703564877424
112,flat,4.384346914189992
113,allspice,4.3869077350516665
114,chilie,4.392049134552085
115,garam,4.392049134552085
116,greek,4.412883221454926
117,spinach,4.412883221454926
118,peanut,4.4155182690929315
119,roast,4.428798676760826
120,ttillas,4.431476054531542
121,potatoe,4.434160619902212
122,tomatoes,4.436852411567923
123,rosemary,4.469732085687079
124,dijon,4.480936684699942
125,lean,4.489423298577261
126,noodle,4.5095100571439986
127,dill,4.515324027009418
128,zucchini,4.518243737112753
129,mint,4.532971543822996
130,mzarella,4.544911984194914
131,chile,4.563094303278104
132,jalapeno,4.572310958383028
133,mirin,4.57850292863095
134,beer,4.57850292863095
135,meat,4.606851283635205
136,cider,4.629469372222977
137,caraway,4.632742697567947
138,baby,4.639321668665989
139,ketchup,4.639321668665989
140,pasta,4.639321668665989
141,chizo,4.642627456800488
142,sauerkraut,4.649271999519157
143,apple,4.649271999519157
144,roasted,4.676300671907076
145,fillet,4.679731207003865
146,seasoning,4.679731207003865
147,italian,4.679731207003865
148,spray,4.718264871006108
149,seeds,4.732653608458207
150,turkey,4.743582678990398
151,peppercns,4.750935653295658
152,chuck,4.754632515176983
153,dark,4.762067493664501
154,salsa,4.765805815775108
155,chickpeas,4.777105371029042
156,ham,4.807877029695796
157,lettuce,4.815720207156821
158,sake,4.815720207156821
159,crumbles,4.839625728010375
160,sherry,4.85999303083481
161,breadcrumbs,4.902016020609658
162,zest,4.9325194749030725
163,tenderloin,4.941408422320318
164,cherry,4.941408422320318
165,ribs,4.945882702715239
166,shoulder,4.9503770923030785
167,toasted,4.963982744358857
168,beans,4.968559411386269
169,wheat,4.968559411386269
170,pea,5.01551639447404
171,oyster,5.020335680909989
172,couscous,5.025178305385777
173,noodles,5.030044495036949
174,almond,5.044786776774153
175,thread,5.0547371076273215
176,kalamata,5.059749649450866
177,eggplant,5.059749649450866
178,raisin,5.069850745437369
179,onions,5.074939814944841
180,cardamom,5.080054915611611
181,mayonnaise,5.080054915611611
182,seasone,5.080054915611611
183,leek,5.090364285270472
184,wedge,5.095559102147576
185,broccoli,5.100781046128728
186,panko,5.111307459115715
187,soup,5.116612511345409
188,pastry,5.138118716566372
189,grain,5.138118716566372
190,avocado,5.138118716566372
191,baking,5.143568321333937
192,flake,5.160097623285147
193,cracked,5.171270923883273
194,hungarian,5.188268500251844
